lemma,class
callable,string
"'vastanduma',",vaidlused ja erimeelsused
"'võitlema',",vaidlused ja erimeelsused
"'häbistama',",vaidlused ja erimeelsused
"'vaidlema',",vaidlused ja erimeelsused
"'nokkima',",vaidlused ja erimeelsused
"'protestima',",vaidlused ja erimeelsused
"'sõdima',",vaidlused ja erimeelsused
"'debateerima',",vaidlused ja erimeelsused
"'diskuteerima',",vaidlused ja erimeelsused
"'nurisema',",vaidlused ja erimeelsused
"'ründama',",vaidlused ja erimeelsused
"'süüdistama',",vaidlused ja erimeelsused
"'kandideerima',",valimised
"'valima',",valimised
"'võitma',",valimised
"'lubama',",valimised
"'osalema',",valimised
"'hääletama',",valimised
"'kavatsema',",valimised
"'toetama',",valimised
"'valetama',",valetamine
"'varjama',",valetamine
"'mustama',",valetamine
"'kuritarvitama',",valetamine
"'manipuleerima',",valetamine
"'juhtima',",valitsemine
"'otsustama',",valitsemine
"'kaasama',",valitsemine
"'mõjutama',",valitsemine
"'esindama',",valitsemine
"'määrama',",valitsemine
"'kinnitama',",valitsemine
"'menetlema',",valitsemine
"'vastutama',",valitsemine
"'suunama',",valitsemine
"'paigutama',",valitsemine
"'finantseerima',",valitsemine
"'investeerima',",valitsemine
"'rahastama',",valitsemine
"'mõjuma',",valitsemine
"'piirama',",valitsemine